bank_ref_no,value_date,txn_date,narration,utr_number,credit_inr,debit_inr,balance_inr,gateway_ref_hint
BNK5167518,2026-07-03,2026-07-03,INB CREDIT SunitaKapoor 645247530210,645247530210,49904.65,0.0,11356526.03,pay_I53JCA2HCBXRAS
BNK8476756,2026-07-03,2026-07-03,NEFT-617010302756-NehaSinghania-REF6-0114,617010302756,117552.04,0.0,12816013.46,pay_WSXLQ5MSSSUAMR
BNK7670900,2026-07-04,2026-07-04,RTGS/SETTL/298682***,298682613056,112559.12,0.0,19806346.87,pay_KU1JQNG0RUYN1M
BNK4992131,2026-07-04,2026-07-04,INB CREDIT ArjunMehta 424047282959,424047282959,96162.93,0.0,9600847.75,pay_HX89L7ZJM1JGMF
BNK6621074,2026-07-04,2026-07-04,RAZORPAY SETTLEMENTS 540029512970,540029512970,88861.35,0.0,17166968.25,pay_4T209QTNU594MF
BNK1848451,2026-07-05,2026-07-05,CR-RAZORPAY-531867892621-6-0087,531867892621,67659.04,0.0,11000416.34,pay_YOECI8Q4MC4R4N
BNK5653845,2026-07-05,2026-07-05,NEFT-937655063727-ArjunMehta-REF6-0238,937655063727,142177.2,0.0,21160610.75,pay_2KCRTTU5Z55P38
BNK6977098,2026-07-05,2026-07-05,NEFT-908471867034-RohanSharma-REF6-0243,908471867034,12526.17,0.0,21528782.68,pay_EHD2PGICAJINBL
BNK6055031,2026-07-06,2026-07-06,RAZORPAY SETTLEMENTS 797325523870,797325523870,63526.08,0.0,12221433.13,pay_XGJTU6HBLWAQVU
BNK6587732,2026-07-06,2026-07-06,UPI/937839829627/SunitaKapoor/RAZORPAY,937839829627,52285.36,0.0,20371556.64,pay_U6UF1RCYVLN09W
BNK9258418,2026-07-06,2026-07-06,INB CREDIT DeepikaRao 847121553588,847121553588,129652.26,0.0,19466519.38,pay_T3C3F8T65P5E3L
BNK8740296,2026-07-06,2026-07-06,CR-RAZORPAY-110909537059-6-0236,110909537059,98898.69,0.0,21008629.09,pay_MAW994PDCWZQMG
BNK5232818,2026-07-07,2026-07-07,UPI/118639688976/DineshChoudhary/RAZORPAY,118639688976,41230.64,0.0,11792783.87,pay_AQBIJT0SBQK7LC
BNK8512685,2026-07-07,2026-07-07,RAZORPAY SETTLEMENTS 945632765840,945632765840,70897.23,0.0,17882305.6,pay_W3R8M9SKZ3DR8C
BNK9972379,2026-07-08,2026-07-08,CR-RAZORPAY-730616278713-6-0053,730616278713,74108.65,0.0,8461632.93,pay_D420M5VHL30DAQ
BNK2408551,2026-07-08,2026-07-08,CR-RAZORPAY-105768820536-6-0200,105768820536,88701.87,0.0,18957652.94,pay_TQJC8Q8MNCLICW
BNK3357732,2026-07-08,2026-07-08,CR-RAZORPAY-105768820536-6-0200,105768820536,88701.87,0.0,19046354.81,pay_TQJC8Q8MNCLICW
BNK5843769,2026-07-08,2026-07-08,IMPS/231808452391/ArjunMehta/SETTLE,231808452391,61336.41,0.0,9147936.81,pay_VI96ABJDPYTFW1
BNK7591378,2026-07-08,2026-07-08,INB CREDIT VikramJoshi 156695343900,156695343900,126326.99,0.0,6675903.06,pay_6064ROA4EZL8YC
BNK8097633,2026-07-08,2026-07-08,CR-RAZORPAY-160701059067-6-0003,160701059067,117703.26,0.0,5317237.59,pay_1DJLNW5E5Q1G1J
BNK5536436,2026-07-09,2026-07-09,INB CREDIT ManishTiwari 126681354938,126681354938,32854.08,0.0,7343767.37,pay_2PLUWI4MHW2QD9
BNK9711858,2026-07-09,2026-07-09,INB CREDIT PriyaNair 247572304810,247572304810,105479.0,0.0,8692938.52,pay_ZB2TUK2QLD61LU
BNK1152648,2026-07-09,2026-07-09,UPI/960999747407/PoojaIyer/RAZORPAY,960999747407,109327.94,0.0,16292872.25,pay_MQ2B1JK44KXOK6
BNK2702191,2026-07-09,2026-07-09,CR-RAZORPAY-312787529402-6-0181,312787529402,74223.82,0.0,17678915.07,pay_F594DLP61HJE43
BNK5104041,2026-07-09,2026-07-09,RAZORPAY SETTLEMENTS 818407241042,818407241042,57078.11,0.0,20093465.66,pay_2VCC2FA214JEVN
BNK3499399,2026-07-10,2026-07-10,RAZORPAY SETTLEMENTS 793805724567,793805724567,21938.77,0.0,14582294.26,pay_5PM8KGXCNW5RAG
BNK7753676,2026-07-10,2026-07-10,RAZORPAY SETTLEMENTS 312790612341,312790612341,69753.62,0.0,21230364.37,pay_9S6Q71A2YFQ7ZH
BNK1217132,2026-07-10,2026-07-10,INB CREDIT AnjaliDesai 941497860305,941497860305,54903.82,0.0,5699705.38,pay_B4ZCYSGYXQ3EJ1
BNK8477148,2026-07-10,2026-07-10,IMPS/838072512300/DeepikaRao/SETTLE,838072512300,115464.26,0.0,6079704.17,pay_4LXMPK20ANMO9H
BNK2948634,2026-07-11,2026-07-11,INB CREDIT AdityaSrivastava 340466957770,340466957770,4121.33,0.0,21590470.62,pay_OZLQNIYTZLHDEX
BNK7905133,2026-07-11,2026-07-11,RTGS/181149827479/RAZORPAYPAYMENTS/SETTLE,181149827479,131889.46,0.0,10053786.92,pay_C3YXTQ4MPV6EMX
BNK7897955,2026-07-11,2026-07-11,INB CREDIT AnjaliDesai 170334798386,170334798386,37353.62,0.0,17716268.69,pay_PPR9ZPLMOHV0AD
BNK2780698,2026-07-11,2026-07-11,NEFT-953837581463-SureshPillai-REF6-0139,953837581463,132018.44,0.0,14560355.49,pay_ZHHRQZAB2WCQ79
BNK2896166,2026-07-11,2026-07-11,RTGS/333001236194/RAZORPAYPAYMENTS/SETTLE,333001236194,66647.43,0.0,18364001.12,pay_KWDFW0BQE6ZSBQ
BNK8854145,2026-07-11,2026-07-11,...RPAY SETTLEMENTS 271250,356981271250,111400.2,0.0,10554706.41,pay_DS4SGWQW75DIF9
BNK8576003,2026-07-12,2026-07-12,RAZORPAY SETTLEMENTS 910774026017,910774026017,136531.25,0.0,11751553.23,pay_PO9H83T3DL2LYO
BNK7651549,2026-07-13,2026-07-13,INB CREDIT RahulVerma 568980556580,568980556580,55466.74,0.0,15164051.5,pay_7SL4HRI5U21JO1
BNK8551652,2026-07-13,2026-07-13,NEFT-679559414118-RahulVerma-REF6-0141,679559414118,143160.28,0.0,14725454.54,pay_RVEIDZRCOA25SC
BNK4911712,2026-07-13,2026-07-13,UPI/344909804462/AdityaSrivastava/RAZORPAY,344909804462,60867.8,0.0,16866796.67,pay_XIG3MMFB3LD6HA
BNK4421667,2026-07-13,2026-07-13,INB CREDIT AnjaliDesai 300978218184,300978218184,82835.03,0.0,20454391.67,pay_H4R470GD503DU0
BNK9711443,2026-07-13,2026-07-13,UPI/344909804462/AdityaSrivastava/RAZORPAY,344909804462,60867.8,0.0,16927664.47,pay_XIG3MMFB3LD6HA
BNK5876243,2026-07-14,2026-07-14,UPI/909728555368/LakshmiNarayanan/RAZORPAY,909728555368,1308.54,0.0,17311629.41,pay_PNL1PGUIYQ3YKL
BNK8447505,2026-07-14,2026-07-14,IMPS/508879735650/AnjaliDesai/SETTLE,508879735650,59057.88,0.0,12356267.09,pay_ITLI1IG7XBFJ24
BNK2059010,2026-07-14,2026-07-14,RAZORPAY SETTLEMENTS 990362784361,990362784361,56329.48,0.0,8387524.28,pay_YUJ20W29EZ27XD
BNK9216215,2026-07-14,2026-07-14,UPI/602458587969/MeeraAgarwal/RAZORPAY,602458587969,23091.77,0.0,19908045.86,pay_TELSB68K0DTZTG
BNK1395789,2026-07-15,2026-07-15,NEFT-723375054445-ArjunMehta-REF6-0063,723375054445,95653.33,0.0,9243590.14,pay_PTQR72TMWZ7ZX6
BNK8278143,2026-07-15,2026-07-15,RTGS/308272153681/RAZORPAYPAYMENTS/SETTLE,308272153681,85348.27,0.0,17426922.28,pay_UO5T7E9UF50TJF
BNK9924636,2026-07-15,2026-07-15,INB CREDIT DineshChoudhary 109012904666,109012904666,113975.25,0.0,21734423.8,pay_3JF306DNL9WQ9Q
BNK4544870,2026-07-15,2026-07-15,NEFT-677391947736-SanjayBhat-REF6-0019,677391947736,117330.12,0.0,6197034.29,pay_4C40IZKURD71KN
BNK8898108,2026-07-16,2026-07-16,RAZORPAY SETTLEMENTS 391242282332,391242282332,29944.6,0.0,17341574.01,pay_JFZY8DPQY5Q2JE
BNK9481623,2026-07-16,2026-07-16,RTGS/553801175831/RAZORPAYPAYMENTS/SETTLE,553801175831,46305.21,0.0,18410306.33,pay_9P6JDH6LNWH4I5
BNK8900405,2026-07-16,2026-07-16,RAZORPAY SETTLEMENTS 614716707220,614716707220,57689.16,0.0,10932757.3,pay_X5EXV3QJY0WETL
BNK6364014,2026-07-17,2026-07-17,NEFT-981223124136-RohanSharma-REF6-0234,981223124136,124526.05,0.0,20896567.54,pay_OKW0Y4BLK04OSB
