erp_txn_id,txn_date,customer_name,payment_method,gross_amount_inr,gateway_fee_inr,tax_on_fee_inr,net_payable_inr,expected_settlement_date,status,gateway_ref,_anomaly_injected
ERP-2026-0001,2026-07-23,Priya Nair,Wallet,60251.76,1205.04,216.91,58829.81,2026-07-25,POSTED,pay_IBR4OQMWM2QMAZ,NONE
ERP-2026-0002,2026-08-19,Sanjay Bhat,NEFT,144105.41,2882.11,518.78,140704.52,2026-08-22,POSTED,pay_MBNJ1L4YYA10VU,NONE
ERP-2026-0003,2026-07-04,Kavitha Reddy,NEFT,120548.19,2410.96,433.97,117703.26,2026-07-06,RECONCILED,pay_1DJLNW5E5Q1G1J,NONE
ERP-2026-0004,2026-08-02,Vikram Joshi,NEFT,18104.5,362.09,65.18,17677.23,2026-08-03,RECONCILED,pay_EZ0Y52TC0E0BP3,A7
ERP-2026-0005,2026-07-28,Sunita Kapoor,IMPS,2928.41,58.57,10.54,2859.3,2026-07-31,POSTED,pay_7JS1R9C1JSKQ6E,NONE
ERP-2026-0006,2026-08-16,Rohan Sharma,NEFT,37386.83,747.74,134.59,36504.5,2026-08-19,RECONCILED,pay_RLWZKO9XKDKK8X,NONE
ERP-2026-0007,2026-08-08,Rekha Menon,IMPS,88769.31,1775.39,319.57,86674.35,2026-08-11,POSTED,pay_GWH8QCIDIA73HK,A5
ERP-2026-0008,2026-08-02,Suresh Pillai,Netbanking,124867.97,2497.36,449.52,121921.09,2026-08-05,POSTED,pay_QLMXRLY2UN4TEZ,NONE
ERP-2026-0009,2026-07-18,Sanjay Bhat,UPI,134089.12,2681.78,482.72,130924.62,2026-07-21,RECONCILED,pay_SVE8R1HDJVQGLH,NONE
ERP-2026-0010,2026-07-07,Anjali Desai,Netbanking,56230.87,1124.62,202.43,54903.82,2026-07-09,POSTED,pay_B4ZCYSGYXQ3EJ1,NONE
ERP-2026-0011,2026-07-12,Manish Tiwari,NEFT,14585.95,291.72,52.51,14241.72,2026-07-15,POSTED,pay_GRFOB3Y9OEA4LB,NONE
ERP-2026-0012,2026-07-24,Neha Singhania,Wallet,124532.31,2490.65,448.32,121593.34,2026-07-26,POSTED,pay_YUCQJU6LYIC0G2,NONE
ERP-2026-0013,2026-08-06,Sunita Kapoor,UPI,8581.52,171.63,30.89,8379.0,2026-08-09,POSTED,pay_8O1Y8G3F3CECW5,NONE
ERP-2026-0014,2026-07-17,Kavitha Reddy,Card,116592.09,2331.84,419.73,113840.52,2026-07-20,POSTED,pay_K0DULGVRX8RTE3,A4
ERP-2026-0015,2026-08-06,Deepika Rao,Card,88362.92,1767.26,318.11,86277.55,2026-08-08,PENDING,pay_NB2NC9LG9FTKHL,A4
ERP-2026-0016,2026-08-17,Manish Tiwari,Wallet,116896.0,2337.92,420.83,114137.25,2026-08-19,POSTED,pay_R3A6EHBE7BXGWL,NONE
ERP-2026-0017,2026-07-14,Vikram Joshi,UPI,6332.67,126.65,22.8,6183.22,2026-07-17,RECONCILED,pay_W9TICRFTA78NK9,NONE
ERP-2026-0018,2026-07-07,Deepika Rao,Card,118255.08,2365.1,425.72,115464.26,2026-07-09,RECONCILED,pay_4LXMPK20ANMO9H,NONE
ERP-2026-0019,2026-07-12,Sanjay Bhat,UPI,120166.04,2403.32,432.6,117330.12,2026-07-13,POSTED,pay_4C40IZKURD71KN,NONE
ERP-2026-0020,2026-08-08,Dinesh Choudhary,Netbanking,18015.12,360.3,64.85,17589.97,2026-08-11,POSTED,pay_HZ7YZUGAQD8L30,A1
ERP-2026-0021,2026-07-06,Sunita Kapoor,Card,9069.71,181.39,32.65,8855.67,2026-07-08,POSTED,pay_GJBLK60KV1DJEX,A5
ERP-2026-0022,2026-08-03,Arjun Mehta,NEFT,134875.99,2697.52,485.55,131692.92,2026-08-04,POSTED,pay_PYFZ7FRA8Q8DDK,NONE
ERP-2026-0023,2026-08-19,Vikram Joshi,Wallet,72017.34,1440.35,259.26,70317.73,2026-08-20,RECONCILED,pay_LRDZJZS6KCECCN,A5
ERP-2026-0024,2026-08-03,Pooja Iyer,Netbanking,62936.89,1258.74,226.57,61451.58,2026-08-05,POSTED,pay_ENF9FSTUDFI2Z8,NONE
ERP-2026-0025,2026-07-19,Pooja Iyer,Card,64983.46,1299.67,233.94,63449.85,2026-07-22,PENDING,pay_Z25DSWV9G9MRHW,A4
ERP-2026-0026,2026-07-30,Amit Gupta,UPI,40073.96,801.48,144.27,39128.21,2026-08-01,PENDING,pay_F8C2LTQ8CLLGXF,NONE
ERP-2026-0027,2026-07-13,Neha Singhania,NEFT,63716.7,1274.33,229.38,62212.99,2026-07-16,POSTED,pay_PZEI08HVZNM48Y,NONE
ERP-2026-0028,2026-08-23,Rekha Menon,Netbanking,20819.12,416.38,74.95,20327.79,2026-08-25,PENDING,pay_ME5LDYNKEUO6A5,NONE
ERP-2026-0029,2026-07-14,Meera Agarwal,Netbanking,16394.55,327.89,59.02,16007.64,2026-07-15,POSTED,pay_GYLLJGYDSD8SHH,NONE
ERP-2026-0030,2026-08-17,Lakshmi Narayanan,Card,4230.52,84.61,15.23,4130.68,2026-08-19,POSTED,pay_ZPJRJ3WFX2A12H,NONE
