bank_ref_no,value_date,txn_date,narration,utr_number,credit_inr,debit_inr,balance_inr,gateway_ref_hint
BNK4860684,2026-07-04,2026-07-04,UPI/744335435865/AdityaSrivastava/RAZORPAY,744335435865,92611.43,0.0,5549292.34,pay_SV871YZOYN6QIC
BNK4725179,2026-07-04,2026-07-04,IMPS/200663178163/SureshPillai/SETTLE,200663178163,58359.3,0.0,9266300.76,pay_32EJX5TD44K1J6
BNK4991829,2026-07-04,2026-07-04,INB CREDIT AdityaSrivastava 490905848547,490905848547,8136.98,0.0,8364983.58,pay_HH5LF6A4FEJGXA
BNK7136730,2026-07-05,2026-07-05,UPI/899999819493/ManishTiwari/RAZORPAY,899999819493,83733.24,0.0,10399189.7,pay_DOQIVBKV4YKADE
BNK9106820,2026-07-06,2026-07-06,RTGS/SETTL/778320***,778320951396,60532.03,0.0,11820661.37,pay_S4C3BAEWCFHQCW
BNK1816653,2026-07-06,2026-07-06,UPI/589770480738/NehaSinghania/RAZORPAY,589770480738,34695.13,0.0,11330949.43,pay_3IMJ70E3P15AHD
BNK3995870,2026-07-06,2026-07-06,CR-RAZORPAY-387635680418,387635680418,63922.25,0.0,5981046.43,pay_K2IAGL58KXO9T7
BNK3320821,2026-07-07,2026-07-07,UPI/342072931479/DineshChoudhary/RAZORPAY,342072931479,22798.72,0.0,5226148.43,pay_6UZHR5XFF0T0PV
BNK7425184,2026-07-07,2026-07-07,IMPS CREDIT 36498873,364988738014,69529.39,0.0,7758554.73,pay_3KKV9RFTMTTQLG
BNK8167236,2026-07-08,2026-07-08,RTGS/787946958681/RAZORPAYPAYMENTS/SETTLE,787946958681,98485.28,0.0,11429434.71,pay_F9I6UU13I59SOJ
BNK6361793,2026-07-10,2026-07-10,IMPS/989435288623/AnjaliDesai/SETTLE,989435288623,42872.91,0.0,9836797.38,pay_RNUJJQ9K6RE4Q6
BNK2503554,2026-07-11,2026-07-11,RTGS/126213443527/RAZORPAYPAYMENTS/SETTLE,126213443527,114994.14,0.0,12103481.59,pay_N2FOMD7Q1DDPUS
BNK6097514,2026-07-12,2026-07-12,RTGS/721959119309/RAZORPAYPAYMENTS/SETTLE,721959119309,88960.65,0.0,7259315.32,pay_DAKRM8J5ECRUYF
BNK6565503,2026-07-14,2026-07-14,INB CREDIT ManishTiwari 696556035704,696556035704,11936.43,0.0,11977269.34,pay_UB7L8V1ZOCFI4O
BNK3822492,2026-07-14,2026-07-14,RAZORPAY SETTLEMENTS 604618265615,604618265615,71768.61,0.0,11760129.34,pay_7UPFLN4RXYJ38X
BNK2425342,2026-07-14,2026-07-14,IMPS/951796738503/PriyaNair/SETTLE,951796738503,98868.62,0.0,8582763.64,pay_7MGFXC08DTNQFL
BNK8999183,2026-07-14,2026-07-14,UPI/151785130539/DineshChoudhary/RAZORPAY,151785130539,12182.21,0.0,5681869.41,pay_J2QP89UZFK8UT0
BNK5435261,2026-07-15,2026-07-15,UPI/488893282253/RekhaMenon/RAZORPAY,488893282253,81953.11,0.0,10627603.8,pay_SWQ40ZSU9RN8QT
BNK8801975,2026-07-16,2026-07-16,INB CREDIT RahulVerma 340293786713,340293786713,141166.29,0.0,6754482.66,pay_0B8IC8BBI4WIRE
BNK7818496,2026-07-16,2026-07-16,NEFT-281403868608-MeeraAgarwal-REF6-0008,281403868608,24520.58,0.0,5669687.2,pay_C02DGTFGQ5C34D
BNK2329187,2026-07-17,2026-07-17,RAZORPAY SETTLEMENTS 106937867936,106937867936,137734.67,0.0,9404035.43,pay_NCILDZMFB7R31Q
BNK4684531,2026-07-17,2026-07-17,NEFT-804054194082-SanjayBhat-REF6-0002,804054194082,59046.95,0.0,5203349.71,pay_5NQ4FMYZYCWTIQ
BNK5545223,2026-07-18,2026-07-18,NEFT-601234945339-PoojaIyer-REF6-0027,601234945339,28600.07,0.0,7076755.49,pay_YXR2DHYLURTP0L
BNK8411939,2026-07-18,2026-07-18,RTGS/612485158138/RAZORPAYPAYMENTS/SETTLE,612485158138,116351.18,0.0,6195233.37,pay_ZTGXN0GUO4KH2V
BNK1358318,2026-07-19,2026-07-19,RTGS/755581630158/RAZORPAYPAYMENTS/SETTLE,755581630158,30442.43,0.0,8356846.6,pay_QIN9N6XCJ883DH
BNK8412854,2026-07-19,2026-07-19,RAZORPAY SETTLEMENTS 674900639822,674900639822,71843.29,0.0,11216292.43,pay_1YV2STN7E36HTF
BNK4546989,2026-07-19,2026-07-19,IMPS/349290861585/AdityaSrivastava/SETTLE,349290861585,100395.5,0.0,11965332.91,pay_X41DNTCAGRP2U4
BNK7812009,2026-07-19,2026-07-19,RTGS/508361278207/RAZORPAYPAYMENTS/SETTLE,508361278207,44276.04,0.0,11864937.41,pay_TKSZP7G7SIWJM2
BNK7003042,2026-07-19,2026-07-19,RAZORPAY SETTLEMENTS 146646362417,146646362417,52115.31,0.0,5917124.18,pay_TPAC56T4UFEL62
BNK8630712,2026-07-19,2026-07-19,CR-RAZORPAY-141017352624-6-0033,141017352624,142107.82,0.0,7471268.06,pay_GVWRDMLY4LYK83
BNK1026245,2026-07-20,2026-07-20,INB CREDIT RekhaMenon 569402438924,569402438924,27830.75,0.0,9431866.18,pay_P1IEIXWC4RTWUZ
BNK9667566,2026-07-20,2026-07-20,RTGS/110977038883/RAZORPAYPAYMENTS/SETTLE,110977038883,71806.79,0.0,7048155.42,pay_KQ1UYMRLRMJKV5
BNK9526867,2026-07-21,2026-07-21,RAZORPAY SETTLEMENTS 307805919610,307805919610,136862.12,0.0,7689025.34,pay_D96QE3RZSJ49IT
BNK4700025,2026-07-21,2026-07-21,IMPS/700155683410/MeeraAgarwal/SETTLE,700155683410,4725.01,0.0,6490954.72,pay_3O18A5UR7KO64T
BNK1763626,2026-07-22,2026-07-22,RTGS/401191380396/RAZORPAYPAYMENTS/SETTLE,401191380396,93599.18,0.0,7170354.67,pay_8YG0JV1V93KMKZ
BNK3457461,2026-07-22,2026-07-22,CR-RAZORPAY-983788581667-6-0080,983788581667,51047.51,0.0,10678651.31,pay_1ZYRRU7ZKUT6OM
BNK7376562,2026-07-22,2026-07-22,IMPS/303718235716/RohanSharma/SETTLE,303718235716,11218.11,0.0,11988487.45,pay_BP4M18O1BJ9RM7
BNK4200829,2026-07-23,2026-07-23,UPI/223267798693/ArjunMehta/RAZORPAY,223267798693,60768.74,0.0,10545650.69,pay_VJX8UIBRSZ1N3I
BNK6266630,2026-07-24,2026-07-24,IMPS/784317998415/SunitaKapoor/SETTLE,784317998415,97835.76,0.0,6078882.19,pay_VSNUJZA7TZ0YNC
BNK5283671,2026-07-24,2026-07-24,CR-RAZORPAY-603601998005-6-0039,603601998005,23548.19,0.0,7880771.0,pay_KNFTU2GC5WI6FQ
BNK6102363,2026-07-24,2026-07-24,RAZORPAY SETTLEMENTS 269728956268,269728956268,50997.81,0.0,9948247.89,pay_ELCQSE3TV1ES53
