erp_txn_id,txn_date,customer_name,payment_method,gross_amount_inr,gateway_fee_inr,tax_on_fee_inr,net_payable_inr,expected_settlement_date,status,gateway_ref,_anomaly_injected
ERP-2026-0001,2026-08-12,Rohan Sharma,UPI,147790.62,2955.81,532.05,144302.76,2026-08-13,POSTED,pay_8MDD4V30T9NT3W,NONE
ERP-2026-0002,2026-07-15,Sanjay Bhat,UPI,60474.14,1209.48,217.71,59046.95,2026-07-16,POSTED,pay_5NQ4FMYZYCWTIQ,NONE
ERP-2026-0003,2026-07-06,Dinesh Choudhary,Card,23349.78,467.0,84.06,22798.72,2026-07-07,PENDING,pay_6UZHR5XFF0T0PV,NONE
ERP-2026-0004,2026-08-18,Rahul Verma,Netbanking,136937.86,2738.76,492.98,133706.12,2026-08-19,POSTED,pay_VNVQJT7YE511MK,A3
ERP-2026-0005,2026-08-19,Rohan Sharma,Netbanking,99132.75,1982.65,356.88,96793.22,2026-08-20,POSTED,pay_NF877VREN93IIU,A1
ERP-2026-0006,2026-07-01,Aditya Srivastava,NEFT,94849.89,1897.0,341.46,92611.43,2026-07-02,POSTED,pay_SV871YZOYN6QIC,NONE
ERP-2026-0007,2026-08-16,Kavitha Reddy,Card,98191.6,1963.83,353.49,95874.28,2026-08-17,POSTED,pay_64CIYHE7UR23GD,NONE
ERP-2026-0008,2026-07-14,Meera Agarwal,Card,25113.25,502.26,90.41,24520.58,2026-07-16,PENDING,pay_C02DGTFGQ5C34D,NONE
ERP-2026-0009,2026-07-11,Dinesh Choudhary,Netbanking,12476.66,249.53,44.92,12182.21,2026-07-12,POSTED,pay_J2QP89UZFK8UT0,NONE
ERP-2026-0010,2026-08-11,Vikram Joshi,Wallet,47768.49,955.37,171.97,46641.15,2026-08-13,POSTED,pay_VYIE6IVWPVS7HZ,NONE
ERP-2026-0011,2026-08-22,Arjun Mehta,Wallet,139797.53,2795.95,503.27,136498.31,2026-08-25,POSTED,pay_AWUDTSEMCIKPTK,NONE
ERP-2026-0012,2026-08-19,Arjun Mehta,IMPS,146979.79,2939.6,529.13,143511.06,2026-08-20,PENDING,pay_J60FKHMY4SJ6BW,A5
ERP-2026-0013,2026-07-16,Amit Gupta,Wallet,53374.96,1067.5,192.15,52115.31,2026-07-19,PENDING,pay_TPAC56T4UFEL62,NONE
ERP-2026-0014,2026-07-03,Sunita Kapoor,Card,30336.14,606.72,109.21,29620.21,2026-07-05,POSTED,pay_907IF2GOG72OY0,A4
ERP-2026-0015,2026-07-03,Aditya Srivastava,IMPS,65467.28,1309.35,235.68,63922.25,2026-07-04,PENDING,pay_K2IAGL58KXO9T7,A1
ERP-2026-0016,2026-07-20,Sunita Kapoor,Wallet,100200.49,2004.01,360.72,97835.76,2026-07-23,PENDING,pay_VSNUJZA7TZ0YNC,NONE
ERP-2026-0017,2026-07-14,Suresh Pillai,Wallet,119163.44,2383.27,428.99,116351.18,2026-07-17,POSTED,pay_ZTGXN0GUO4KH2V,NONE
ERP-2026-0018,2026-07-26,Manish Tiwari,Card,98580.67,1971.61,354.89,96254.17,2026-07-27,PENDING,pay_XKXWD8IL3FB9W1,A1
ERP-2026-0019,2026-07-29,Kavitha Reddy,Netbanking,129293.49,2585.87,465.46,126242.16,2026-07-30,POSTED,pay_H2ZQU7EEQTUL1P,NONE
ERP-2026-0020,2026-07-27,Rohan Sharma,Card,70155.68,1403.11,252.56,68500.01,2026-07-29,POSTED,pay_14J1RIPZIM6CFN,NONE
ERP-2026-0021,2026-07-18,Meera Agarwal,NEFT,4839.21,96.78,17.42,4725.01,2026-07-20,PENDING,pay_3O18A5UR7KO64T,NONE
ERP-2026-0022,2026-08-18,Manish Tiwari,IMPS,125319.18,2506.38,451.15,122361.65,2026-08-20,POSTED,pay_0479T6VXDP5GJL,NONE
ERP-2026-0023,2026-07-11,Rahul Verma,IMPS,144578.34,2891.57,520.48,141166.29,2026-07-14,POSTED,pay_0B8IC8BBI4WIRE,NONE
ERP-2026-0024,2026-07-23,Aditya Srivastava,UPI,99397.44,1987.95,357.83,97051.66,2026-07-26,RECONCILED,pay_2FLU7U6N7HV3IZ,NONE
ERP-2026-0025,2026-08-07,Kavitha Reddy,Wallet,127831.12,2556.62,460.19,124814.31,2026-08-09,POSTED,pay_XAPRPN6QFGSXW7,NONE
ERP-2026-0026,2026-07-16,Amit Gupta,UPI,73542.39,1470.85,264.75,71806.79,2026-07-19,POSTED,pay_KQ1UYMRLRMJKV5,NONE
ERP-2026-0027,2026-07-15,Pooja Iyer,IMPS,29291.35,585.83,105.45,28600.07,2026-07-16,RECONCILED,pay_YXR2DHYLURTP0L,NONE
ERP-2026-0028,2026-07-19,Priya Nair,Netbanking,95861.51,1917.23,345.1,93599.18,2026-07-22,PENDING,pay_8YG0JV1V93KMKZ,NONE
ERP-2026-0029,2026-07-08,Rohan Sharma,NEFT,91144.49,1822.89,328.12,88993.48,2026-07-11,PENDING,pay_DAKRM8J5ECRUYF,A3
ERP-2026-0030,2026-08-08,Suresh Pillai,Wallet,5379.66,107.59,19.37,5252.7,2026-08-10,POSTED,pay_6KVPUC8D1WJCIT,NONE
ERP-2026-0031,2026-08-22,Rekha Menon,Wallet,66153.44,1323.07,238.15,64592.22,2026-08-25,POSTED,pay_ZQY72WX7PTX63C,NONE
ERP-2026-0032,2026-08-18,Aditya Srivastava,UPI,78085.09,1561.7,281.11,76242.28,2026-08-19,POSTED,pay_Z7SRCBPLJD84U8,A4
ERP-2026-0033,2026-07-17,Rohan Sharma,IMPS,145542.62,2910.85,523.95,142107.82,2026-07-19,RECONCILED,pay_GVWRDMLY4LYK83,NONE
ERP-2026-0034,2026-08-15,Rekha Menon,NEFT,82850.43,1657.01,298.26,80895.16,2026-08-16,PENDING,pay_3A5QBSWRPBJEK5,NONE
ERP-2026-0035,2026-07-18,Vikram Joshi,UPI,140170.13,2803.4,504.61,136862.12,2026-07-20,POSTED,pay_D96QE3RZSJ49IT,NONE
ERP-2026-0036,2026-07-03,Neha Singhania,Card,71209.95,1424.2,256.36,69529.39,2026-07-05,PENDING,pay_3KKV9RFTMTTQLG,A1
ERP-2026-0037,2026-08-20,Rohan Sharma,Card,93677.28,1873.55,337.24,91466.49,2026-08-22,POSTED,pay_92XF8E8LD4D6AF,NONE
ERP-2026-0038,2026-08-14,Suresh Pillai,NEFT,7375.65,147.51,26.55,7201.59,2026-08-16,POSTED,pay_444NLZ15BCW790,NONE
ERP-2026-0039,2026-07-19,Arjun Mehta,Card,24117.36,482.35,86.82,23548.19,2026-07-22,POSTED,pay_KNFTU2GC5WI6FQ,NONE
ERP-2026-0040,2026-08-06,Rahul Verma,UPI,146053.62,2921.07,525.79,142606.76,2026-08-09,PENDING,pay_9K8YQK94DNMKZA,NONE
ERP-2026-0041,2026-07-24,Priya Nair,Netbanking,13974.94,279.5,50.31,13645.13,2026-07-27,POSTED,pay_361I2HGJ11YEDW,NONE
ERP-2026-0042,2026-08-13,Vikram Joshi,NEFT,147001.37,2940.03,529.21,143532.13,2026-08-16,RECONCILED,pay_0GET8T63J3R30M,NONE
ERP-2026-0043,2026-08-22,Rohan Sharma,Wallet,45677.43,913.55,164.44,44599.44,2026-08-24,POSTED,pay_N2ATQYYV37DIA5,NONE
ERP-2026-0044,2026-07-27,Meera Agarwal,Netbanking,103696.96,2073.94,373.31,101249.71,2026-07-29,PENDING,pay_F8KRD5EQY08P0F,NONE
ERP-2026-0045,2026-07-16,Priya Nair,IMPS,31178.23,623.56,112.24,30442.43,2026-07-17,RECONCILED,pay_QIN9N6XCJ883DH,NONE
ERP-2026-0046,2026-07-02,Aditya Srivastava,IMPS,8333.65,166.67,30.0,8136.98,2026-07-03,PENDING,pay_HH5LF6A4FEJGXA,NONE
ERP-2026-0047,2026-07-29,Meera Agarwal,Wallet,48655.72,973.11,175.16,47507.45,2026-07-30,POSTED,pay_S0R2SDS8B25SQ8,NONE
ERP-2026-0048,2026-07-27,Suresh Pillai,NEFT,60110.16,1202.2,216.4,58691.56,2026-07-29,POSTED,pay_EWVZNVKSP2EX5T,NONE
ERP-2026-0049,2026-08-12,Kavitha Reddy,IMPS,8191.19,163.82,29.49,7997.88,2026-08-14,RECONCILED,pay_LLJ8YRDDP0NEC8,NONE
ERP-2026-0050,2026-08-23,Rekha Menon,Wallet,4828.5,96.57,17.38,4714.55,2026-08-26,POSTED,pay_LDSFR4MUEKIPU1,NONE
ERP-2026-0051,2026-07-11,Priya Nair,NEFT,101258.32,2025.17,364.53,98868.62,2026-07-14,PENDING,pay_7MGFXC08DTNQFL,NONE
ERP-2026-0052,2026-08-18,Amit Gupta,NEFT,49554.29,991.09,178.4,48384.8,2026-08-20,PENDING,pay_XRPJ1EPKYRYBOV,NONE
ERP-2026-0053,2026-07-26,Pooja Iyer,UPI,26195.04,523.9,94.3,25576.84,2026-07-27,PENDING,pay_0GNZS43C5BA75U,NONE
ERP-2026-0054,2026-08-22,Anjali Desai,Wallet,35822.19,716.44,128.96,34976.79,2026-08-25,POSTED,pay_37D4IVSOLMLGSE,NONE
ERP-2026-0055,2026-07-31,Suresh Pillai,UPI,45771.66,915.43,164.78,44691.45,2026-08-02,RECONCILED,pay_HV1XG1R11Q7UWW,A2
ERP-2026-0056,2026-07-31,Sanjay Bhat,Netbanking,143679.49,2873.59,517.25,140288.65,2026-08-03,POSTED,pay_CQBNKX9DVNU80B,NONE
ERP-2026-0057,2026-07-22,Sanjay Bhat,UPI,101917.71,2038.35,366.9,99512.46,2026-07-23,POSTED,pay_349DXBZ9SVN7N1,NONE
ERP-2026-0058,2026-08-14,Vikram Joshi,Wallet,136910.97,2738.22,492.88,133679.87,2026-08-17,PENDING,pay_0X65MUFM8ZOV7L,NONE
ERP-2026-0059,2026-08-08,Rekha Menon,NEFT,24755.96,495.12,89.12,24171.72,2026-08-10,RECONCILED,pay_SAL8M1G9FK2ST0,NONE
ERP-2026-0060,2026-07-30,Aditya Srivastava,Card,75684.55,1513.69,272.46,73898.4,2026-08-01,POSTED,pay_3FPOYIPK0QTL3Q,NONE
ERP-2026-0061,2026-07-02,Suresh Pillai,IMPS,59769.87,1195.4,215.17,58359.3,2026-07-04,POSTED,pay_32EJX5TD44K1J6,NONE
ERP-2026-0062,2026-07-14,Arjun Mehta,IMPS,141063.78,2821.28,507.83,137734.67,2026-07-15,RECONCILED,pay_NCILDZMFB7R31Q,NONE
ERP-2026-0063,2026-07-16,Rekha Menon,IMPS,28503.43,570.07,102.61,27830.75,2026-07-19,POSTED,pay_P1IEIXWC4RTWUZ,NONE
ERP-2026-0064,2026-08-18,Aditya Srivastava,Wallet,7128.19,142.56,25.66,6959.97,2026-08-20,POSTED,pay_SM8T2SA5BNN0MC,NONE
ERP-2026-0065,2026-07-31,Manish Tiwari,Netbanking,113116.99,2262.34,407.22,110447.43,2026-08-02,POSTED,pay_3G2QZW3C1QKBHB,NONE
ERP-2026-0066,2026-07-28,Kavitha Reddy,UPI,82048.42,1640.97,295.37,80112.08,2026-07-31,POSTED,pay_M25LEN606N9RR7,NONE
ERP-2026-0067,2026-08-21,Anjali Desai,Netbanking,24418.02,488.36,87.9,23841.76,2026-08-24,POSTED,pay_CXLVPYMB5M9J98,NONE
ERP-2026-0068,2026-08-11,Manish Tiwari,IMPS,144097.75,2881.95,518.75,140697.05,2026-08-13,POSTED,pay_4YPEIXN8BFQNPC,NONE
ERP-2026-0069,2026-07-05,Anjali Desai,Wallet,43909.16,878.18,158.07,42872.91,2026-07-08,POSTED,pay_RNUJJQ9K6RE4Q6,NONE
ERP-2026-0070,2026-08-16,Manish Tiwari,Wallet,61913.87,1238.28,222.89,60452.7,2026-08-18,POSTED,pay_Z7W2SEHE2ATN2T,A1
ERP-2026-0071,2026-07-21,Deepika Rao,NEFT,52230.45,1044.61,188.03,50997.81,2026-07-24,POSTED,pay_ELCQSE3TV1ES53,NONE
ERP-2026-0072,2026-08-11,Rohan Sharma,UPI,97843.93,1956.88,352.24,95534.81,2026-08-14,RECONCILED,pay_4JWTEKTSG7FXZV,NONE
ERP-2026-0073,2026-07-21,Sanjay Bhat,Wallet,146318.43,2926.37,526.75,142865.31,2026-07-24,POSTED,pay_OXRWK8R2YKCCPR,NONE
ERP-2026-0074,2026-08-02,Deepika Rao,Card,131921.81,2638.44,474.92,128808.45,2026-08-04,POSTED,pay_SDIEQFB85P8637,NONE
ERP-2026-0075,2026-07-03,Manish Tiwari,IMPS,85757.11,1715.14,308.73,83733.24,2026-07-05,POSTED,pay_DOQIVBKV4YKADE,NONE
ERP-2026-0076,2026-07-03,Manish Tiwari,Netbanking,20986.94,419.74,75.55,20491.65,2026-07-04,PENDING,pay_TCS1K9YE9O2M71,A4
ERP-2026-0077,2026-08-13,Anjali Desai,IMPS,87763.47,1755.27,315.95,85692.25,2026-08-14,POSTED,pay_SF6F7LOW4VSSRU,NONE
ERP-2026-0078,2026-07-21,Arjun Mehta,Card,62237.54,1244.75,224.05,60768.74,2026-07-23,PENDING,pay_VJX8UIBRSZ1N3I,NONE
ERP-2026-0079,2026-07-13,Rekha Menon,Card,83933.95,1678.68,302.16,81953.11,2026-07-14,POSTED,pay_SWQ40ZSU9RN8QT,NONE
ERP-2026-0080,2026-07-19,Pooja Iyer,UPI,52281.35,1045.63,188.21,51047.51,2026-07-22,POSTED,pay_1ZYRRU7ZKUT6OM,NONE
ERP-2026-0081,2026-08-19,Sunita Kapoor,Wallet,144695.56,2893.91,520.9,141280.75,2026-08-20,PENDING,pay_0H3JUJD0IB6IID,NONE
ERP-2026-0082,2026-08-23,Deepika Rao,UPI,28353.59,567.07,102.07,27684.45,2026-08-25,POSTED,pay_X5RX1KKC1XI04B,A1
ERP-2026-0083,2026-08-17,Deepika Rao,UPI,85383.29,1707.67,307.38,83368.24,2026-08-19,POSTED,pay_AUD9K9TR74QGEF,NONE
ERP-2026-0084,2026-08-06,Aditya Srivastava,Wallet,98225.66,1964.51,353.61,95907.54,2026-08-07,POSTED,pay_G463SDYGFLIJI1,NONE
ERP-2026-0085,2026-08-05,Kavitha Reddy,Wallet,120398.25,2407.97,433.43,117556.85,2026-08-07,POSTED,pay_CELOS6ZLE6KWHE,NONE
ERP-2026-0086,2026-07-14,Sunita Kapoor,Wallet,73579.78,1471.6,264.89,71843.29,2026-07-17,PENDING,pay_1YV2STN7E36HTF,NONE
ERP-2026-0087,2026-07-03,Rohan Sharma,Card,27407.21,548.14,98.67,26760.4,2026-07-05,PENDING,pay_3QSQCQ30O30UBM,A5
ERP-2026-0088,2026-07-30,Arjun Mehta,IMPS,81894.58,1637.89,294.82,79961.87,2026-08-02,PENDING,pay_N6Q7NC85E4E9OE,NONE
ERP-2026-0089,2026-07-03,Neha Singhania,Wallet,35533.72,710.67,127.92,34695.13,2026-07-05,POSTED,pay_3IMJ70E3P15AHD,NONE
