erp_txn_id,customer_name,txn_date,erp_gross,erp_fee,erp_tax,erp_net,gateway_txn_id,gw_gross,gw_fee,gw_tax,gw_net,bank_ref_no,bank_credit,bank_narration,utr,fee_delta,net_delta,status,sub_status,confidence,stage,reasoning,exception_reason,anomaly_hint
ERP-2026-0001,Rohan Sharma,2026-08-12,147790.62,2955.81,532.05,144302.76,pay_8MDD4V30T9NT3W,147790.62,2955.81,532.05,144302.76,BNK4226067,144302.76,RTGS/498837994177/RAZORPAYPAYMENTS/SETTLE,498837994177,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=498837994177, Gross=INR 147,790.62, Net=INR 144,302.76, Bank credit=INR 144,302.76. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0002,Sanjay Bhat,2026-07-15,60474.14,1209.48,217.71,59046.95,pay_5NQ4FMYZYCWTIQ,60474.14,1209.48,217.71,59046.95,BNK4684531,59046.95,NEFT-804054194082-SanjayBhat-REF6-0002,804054194082,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=804054194082, Gross=INR 60,474.14, Net=INR 59,046.95, Bank credit=INR 59,046.95. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0003,Dinesh Choudhary,2026-07-06,23349.78,467.0,84.06,22798.72,pay_6UZHR5XFF0T0PV,23349.78,467.0,84.06,22798.72,BNK3320821,22798.72,UPI/342072931479/DineshChoudhary/RAZORPAY,342072931479,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=342072931479, Gross=INR 23,349.78, Net=INR 22,798.72, Bank credit=INR 22,798.72. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0004,Rahul Verma,2026-08-18,136937.86,2738.76,492.98,133706.12,pay_VNVQJT7YE511MK,136937.86,2705.62,492.98,133739.26,,0.0,,598895488714,33.14,0.0,EXCEPTION,MAJOR_FEE_VARIANCE,94,1,"Major gateway fee variance: ERP fee=INR 2,738.76, Gateway fee=INR 2,705.62, delta=INR 33.14. Exceeds auto-resolution threshold of INR 5.00. Requires manual review and possible gateway debit-note.",MAJOR_FEE_VARIANCE,A3
ERP-2026-0005,Rohan Sharma,2026-08-19,99132.75,1982.65,356.88,96793.22,pay_NF877VREN93IIU,99132.75,1982.65,356.88,96793.22,BNK9153566,96793.22,UPI/PAY/19053257/RP...,190532572167,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=190532572167, Gross=INR 99,132.75, Net=INR 96,793.22, Bank credit=INR 96,793.22. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,A1
ERP-2026-0006,Aditya Srivastava,2026-07-01,94849.89,1897.0,341.46,92611.43,pay_SV871YZOYN6QIC,94849.89,1897.0,341.46,92611.43,BNK4860684,92611.43,UPI/744335435865/AdityaSrivastava/RAZORPAY,744335435865,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=744335435865, Gross=INR 94,849.89, Net=INR 92,611.43, Bank credit=INR 92,611.43. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0007,Kavitha Reddy,2026-08-16,98191.6,1963.83,353.49,95874.28,pay_64CIYHE7UR23GD,98191.6,1963.83,353.49,95874.28,BNK8106470,95874.28,INB CREDIT KavithaReddy 488398407379,488398407379,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=488398407379, Gross=INR 98,191.60, Net=INR 95,874.28, Bank credit=INR 95,874.28. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0008,Meera Agarwal,2026-07-14,25113.25,502.26,90.41,24520.58,pay_C02DGTFGQ5C34D,25113.25,502.26,90.41,24520.58,BNK7818496,24520.58,NEFT-281403868608-MeeraAgarwal-REF6-0008,281403868608,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=281403868608, Gross=INR 25,113.25, Net=INR 24,520.58, Bank credit=INR 24,520.58. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0009,Dinesh Choudhary,2026-07-11,12476.66,249.53,44.92,12182.21,pay_J2QP89UZFK8UT0,12476.66,249.53,44.92,12182.21,BNK8999183,12182.21,UPI/151785130539/DineshChoudhary/RAZORPAY,151785130539,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=151785130539, Gross=INR 12,476.66, Net=INR 12,182.21, Bank credit=INR 12,182.21. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0010,Vikram Joshi,2026-08-11,47768.49,955.37,171.97,46641.15,pay_VYIE6IVWPVS7HZ,47768.49,955.37,171.97,46641.15,BNK7640184,46641.15,RTGS/388787957213/RAZORPAYPAYMENTS/SETTLE,388787957213,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=388787957213, Gross=INR 47,768.49, Net=INR 46,641.15, Bank credit=INR 46,641.15. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0011,Arjun Mehta,2026-08-22,139797.53,2795.95,503.27,136498.31,pay_AWUDTSEMCIKPTK,139797.53,2795.95,503.27,136498.31,BNK9874152,136498.31,NEFT-820726006289-ArjunMehta-REF6-0011,820726006289,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=820726006289, Gross=INR 139,797.53, Net=INR 136,498.31, Bank credit=INR 136,498.31. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0012,Arjun Mehta,2026-08-19,146979.79,2939.6,529.13,143511.06,pay_J60FKHMY4SJ6BW,146979.79,2939.6,529.13,143511.06,,0.0,,404209733660,0.0,0.0,EXCEPTION,MISSING_BANK,97,2,"Gateway shows settlement (UTR=404209733660, net=INR 143,511.06) but no corresponding bank credit found by exact UTR lookup, fuzzy narration search, or amount+hint corroboration. Possible: bank credit pending, wrong account, or bank file incomplete.",MISSING_BANK,A5
ERP-2026-0013,Amit Gupta,2026-07-16,53374.96,1067.5,192.15,52115.31,pay_TPAC56T4UFEL62,53374.96,1067.5,192.15,52115.31,BNK7003042,52115.31,RAZORPAY SETTLEMENTS 146646362417,146646362417,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=146646362417, Gross=INR 53,374.96, Net=INR 52,115.31, Bank credit=INR 52,115.31. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0014,Sunita Kapoor,2026-07-03,30336.14,606.72,109.21,29620.21,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,EXCEPTION,MISSING_GATEWAY,98,1,"No gateway settlement row found for ERP record ERP-2026-0014. Payment may not have been processed by the gateway, or the settlement file is incomplete.",MISSING_GATEWAY,A4
ERP-2026-0015,Aditya Srivastava,2026-07-03,65467.28,1309.35,235.68,63922.25,pay_K2IAGL58KXO9T7,65467.28,1309.35,235.68,63922.25,BNK3995870,63922.25,CR-RAZORPAY-387635680418,387635680418,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=387635680418, Gross=INR 65,467.28, Net=INR 63,922.25, Bank credit=INR 63,922.25. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,A1
ERP-2026-0016,Sunita Kapoor,2026-07-20,100200.49,2004.01,360.72,97835.76,pay_VSNUJZA7TZ0YNC,100200.49,2004.01,360.72,97835.76,BNK6266630,97835.76,IMPS/784317998415/SunitaKapoor/SETTLE,784317998415,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=784317998415, Gross=INR 100,200.49, Net=INR 97,835.76, Bank credit=INR 97,835.76. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0017,Suresh Pillai,2026-07-14,119163.44,2383.27,428.99,116351.18,pay_ZTGXN0GUO4KH2V,119163.44,2383.27,428.99,116351.18,BNK8411939,116351.18,RTGS/612485158138/RAZORPAYPAYMENTS/SETTLE,612485158138,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=612485158138, Gross=INR 119,163.44, Net=INR 116,351.18, Bank credit=INR 116,351.18. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0018,Manish Tiwari,2026-07-26,98580.67,1971.61,354.89,96254.17,pay_XKXWD8IL3FB9W1,98580.67,1971.61,354.89,96254.17,BNK4262081,96254.17,NEFT-557222530916-Manish,557222530916,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=557222530916, Gross=INR 98,580.67, Net=INR 96,254.17, Bank credit=INR 96,254.17. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,A1
ERP-2026-0019,Kavitha Reddy,2026-07-29,129293.49,2585.87,465.46,126242.16,pay_H2ZQU7EEQTUL1P,129293.49,2585.87,465.46,126242.16,BNK9468772,126242.16,CR-RAZORPAY-893774408754-6-0019,893774408754,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=893774408754, Gross=INR 129,293.49, Net=INR 126,242.16, Bank credit=INR 126,242.16. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0020,Rohan Sharma,2026-07-27,70155.68,1403.11,252.56,68500.01,pay_14J1RIPZIM6CFN,70155.68,1403.11,252.56,68500.01,BNK4589533,68500.01,NEFT-873750406882-RohanSharma-REF6-0020,873750406882,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=873750406882, Gross=INR 70,155.68, Net=INR 68,500.01, Bank credit=INR 68,500.01. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0021,Meera Agarwal,2026-07-18,4839.21,96.78,17.42,4725.01,pay_3O18A5UR7KO64T,4839.21,96.78,17.42,4725.01,BNK4700025,4725.01,IMPS/700155683410/MeeraAgarwal/SETTLE,700155683410,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=700155683410, Gross=INR 4,839.21, Net=INR 4,725.01, Bank credit=INR 4,725.01. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0022,Manish Tiwari,2026-08-18,125319.18,2506.38,451.15,122361.65,pay_0479T6VXDP5GJL,125319.18,2506.38,451.15,122361.65,BNK6662319,122361.65,CR-RAZORPAY-458435204313-6-0022,458435204313,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=458435204313, Gross=INR 125,319.18, Net=INR 122,361.65, Bank credit=INR 122,361.65. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
